suburb,state,lat,lng,sal_code
Alfredtown,NSW,-35.15251,147.53016,10032
Algester,QLD,-27.61139,153.03361,30032
Ali Curung,NT,-21.00278,134.40485,70004
Alice,NSW,-29.053,152.601,10033
Alice Creek,QLD,-26.76292,151.59492,30033
Alice River,QLD,-19.33208,146.60609,30034
Alice Springs,NT,-23.69804,133.88075,70005
Alison,NSW,-33.265,151.398,10035
Alkimos,WA,-31.61716,115.68059,50011
Allambee,VIC,-38.29054,146.01967,20024
Allambee Reserve,VIC,-38.30225,146.05287,20025
Allambee South,VIC,-38.34856,146.10865,20026
Allambie,NSW,-33.7624,151.25,
Allambie Heights,NSW,-33.7624,151.25,10036
Allan,QLD,-28.18839,151.95212,30035
Allandale,NSW,-32.715,151.41778,10037
Allandale,QLD,-27.9861,152.73312,30036
Allandale Station,SA,-27.6761,135.606,
Allanooka,WA,-29.04674,115.07032,50012
Allans Flat,VIC,-36.28704,146.92637,20027
Allansford,VIC,-38.38611,142.59306,20028
Allanson,WA,-33.32854,116.08648,50013
Allawah,NSW,-33.9749,151.1167,10038
Alleena,NSW,-34.02884,147.13691,10039
Allenby Gardens,SA,-34.904,138.555,40012
Allendale,VIC,-37.36667,143.93333,20029
Allendale East,SA,-37.99357,140.66493,40013
Allendale North,SA,-34.27878,138.91304,40014
Allens Rivulet,TAS,-43.01622,147.19561,60011
Allenstown,QLD,-23.38889,150.50278,30037
Allenview,QLD,-27.89082,152.93533,30038
Allestree,VIC,-38.28333,141.65,20030
Allgomera,NSW,-30.81342,152.83745,10040
Allgomera Creek,NSW,-30.8214,152.827,
Alligator Creek,QLD,-21.33631,149.20682,30040
Allingham,QLD,-18.69599,146.30132,
Allora,QLD,-28.03333,151.98333,30041
Alloway,QLD,-24.94666,152.36825,30042
Allworth,NSW,-32.55,151.95,10041
Allynbrook,NSW,-32.34839,151.53042,10042
Alma,SA,-34.24551,138.62479,40015
Alma,VIC,-37.02722,143.67778,20031
Alma,WA,-28.28637,114.64805,50014
Alma Park,NSW,-35.59795,146.80998,10043
Almaden,QLD,-17.33955,144.6786,30043
Almonds,VIC,-36.24423,146.05601,20032
Almurta,VIC,-38.47231,145.62118,20033
Alonnah,TAS,-43.315,147.24361,60012
Aloomba,QLD,-17.107,145.832,30044
Alpana,SA,-31.1121,138.55,
Alpha,QLD,-23.65,146.63333,30045
Alphington,VIC,-37.78,145.023,20034
Alpine,NSW,-34.40583,150.50917,10044
Alpurrurulam,QLD,-20.98411,137.84726,
Alroy,QLD,-20.6906,138.399,
Alsace,QLD,-23.28672,149.29739,30046
Alstonvale,NSW,-28.80611,153.44528,10045
Alstonville,NSW,-28.84087,153.44958,10046
Altandi,QLD,-27.5837,153.066,
Alton Downs,QLD,-23.29353,150.37327,30047
Alton Downs Station,SA,-26.3211,138.972,
Altona,SA,-34.60136,138.91525,40016
Altona,VIC,-37.86315,144.81202,20035
Altona East,VIC,-37.83887,144.83462,
Altona Gate,VIC,-37.82771,144.8477,
Altona Meadows,VIC,-37.87156,144.77758,20036
Altona North,VIC,-37.83887,144.83462,20037
Alumy Creek,NSW,-29.64183,152.95884,10047
Alva,QLD,-19.50814,147.43238,30048
Alvie,VIC,-38.24444,143.51556,20038
Alyangula,NT,-13.8529,136.422,70007
Amamoor,QLD,-26.3486,152.6757,30049
Amamoor Creek,QLD,-26.38288,152.50478,30050
Amaroo,ACT,-35.17139,149.12889,80019
Amaroo,NSW,-33.15944,148.91024,10048
Amaroo,QLD,-23.26944,139.33781,30051
Amata,NT,-26.1509,131.14666,
Ambania,WA,-28.58611,115.16266,50015
Ambarvale,NSW,-34.08333,150.80067,10049
Amber,QLD,-17.72029,144.23855,30052
Ambergate,WA,-33.70855,115.32609,50016
Amberley,QLD,-27.63333,152.7,30053
Ambleside,TAS,-41.20403,146.3743,60013
Ambrose,QLD,-23.78868,150.91255,30054
Amby,QLD,-26.54872,148.18803,30055
Amelup,WA,-34.2529,118.21589,50017
American Beach,SA,-35.76893,137.88079,40018
American River,SA,-35.77833,137.77278,40019
Amherst,VIC,-37.15601,143.66559,20039
Amiens,QLD,-28.5887,151.809,30056
Amity,QLD,-27.39725,153.45376,30057
Amity Point,QLD,-27.39725,153.45376,
Ammerdown,NSW,-33.2496,149.072,
Amoonguna,NT,-23.7638,133.92937,70008
Amor,VIC,-37.93937,146.4104,20040
Amosfield,NSW,-28.6569,152.064,10050
Amphitheatre,VIC,-37.1878,143.468,20041
Ampilatwatja,NT,-21.6565,135.225,70009
Amyton,SA,-32.60534,138.3513,40020
Anabranch North,NSW,-33.2963,141.802,10051
Anabranch South,NSW,-33.7526,141.725,10052
Anakie,QLD,-23.55243,147.7428,
Anakie,VIC,-37.9167,144.25,20042
Anakie Siding,QLD,-24.31355,149.8003,30058
Anama,SA,-33.68676,138.56545,40021
Anambah,NSW,-32.67333,151.49278,10053
Anangu Pitjantjatjara Yankunytjatjara,NT,-23.5887,131.281,
Anatye,NT,-22.6893,136.411,70010
Ancona,VIC,-36.94837,145.84633,20043
Andamooka,SA,-30.4536,137.16482,40023
Andamooka Station,SA,-30.5891,137.167,40024
Andergrove,QLD,-21.09535,149.18744,30059
Anderleigh,QLD,-25.9897,152.68026,30060
Anderson,VIC,-38.52271,145.4527,20044
Ando,NSW,-36.7334,149.29425,10054
Andover,TAS,-42.33497,147.51881,60014
Andrews,SA,-33.63896,138.60719,40025
Andrews Farm,SA,-34.672,138.667,40026
Andromache,QLD,-20.56193,148.48548,30061
Anduramba,QLD,-27.15117,152.10622,30062
Anembo,NSW,-35.74175,149.40806,10055
Angas Plains,SA,-35.34667,138.98155,40027
Angas Valley,SA,-34.75459,139.30846,40028
Angaston,SA,-34.50352,139.05055,40029
Angellala,QLD,-26.409,146.891,
Angelo River,WA,-23.57367,118.49503,50018
Angepena,SA,-30.6582,138.856,
Angip,VIC,-36.10303,142.22986,
Angle Park,SA,-34.859,138.561,40030
Angle Vale,SA,-34.6416,138.65393,40031
Angledale,NSW,-36.63167,149.88444,10056
Angledool,NSW,-29.1435,148.01401,10057
Anglers Paradise,QLD,-27.9155,153.398,
Anglers Reach,NSW,-36.01818,148.70762,10058
Anglers Rest,VIC,-36.9939,147.48196,20045
Anglesea,VIC,-38.38501,144.15019,20046
Angorigina,SA,-31.103,138.809,
Angourie,NSW,-29.47917,153.35944,10059
Angurugu,NT,-13.9812,136.461,70011
Angus,NSW,-33.6886,150.78165,10060
Angus Place,NSW,-33.3646,150.119,
Anindilyakwa,NT,-13.861,136.441,70012
Anketell,WA,-32.21791,115.85931,50019
Anmatjere,NT,-22.2457,133.425,70013
Anna Bay,NSW,-32.76667,152.08333,10061
Anna Creek,SA,-28.7529,136.204,40032
Annadale,SA,-34.39762,139.36854,40033
Annandale,NSW,-33.88241,151.17236,10062
Annandale,QLD,-19.30824,146.79177,30063
Annangrove,NSW,-33.65255,150.94096,10063
Annerley,QLD,-27.5139,153.03093,30064
Annerley Dc,QLD,-27.5121,153.031,
Annie River,NT,-14.4942,143.751,
Anniebrook,WA,-33.66496,115.16953,50020
Annuello,VIC,-34.90694,142.86769,20047
Ansons Bay,TAS,-41.03556,148.26806,60015
Anstead,QLD,-27.54472,152.86611,30065
Antechamber Bay,SA,-35.79838,138.0602,40034
Antewenegerrde,NT,-23.5887,131.281,
Anthony,QLD,-27.87518,152.69124,30066
Anthonys Lagoon,QLD,-17.9659,135.527,
Antigua,QLD,-25.62599,152.60126,30067
Antill Ponds,TAS,-42.21466,147.41062,60016
Antonymyre,WA,-20.6543,117.09156,50021
Antwerp,VIC,-36.2839,142.02518,20048
Anu,ACT,-35.2777,149.119,
Anula,NT,-12.3928,130.89,70014
Apamurra,SA,-34.86089,139.20519,40035
Apoinga,SA,-33.92873,138.93949,40036
Apollo Bay,TAS,-43.16414,147.2922,60017
Apollo Bay,VIC,-38.75515,143.66759,20049
Appila,SA,-33.03645,138.44032,40037
Appin,NSW,-34.2,150.78333,10064
Appin,VIC,-35.88472,143.85225,20050
Appin Park,VIC,-36.34289,146.30026,
Appin South,VIC,-35.91373,143.88317,20051
Apple Tree Creek,QLD,-25.22472,152.23556,30068
Apple Tree Flat,NSW,-32.6816,149.70222,10065
Appleby,NSW,-30.96282,150.83532,10066
Applecross,WA,-32.01161,115.83873,50022
Applecross North,WA,-32.0116,115.839,
Applethorpe,QLD,-28.61675,151.96663,30069
Appletree Flat,NSW,-32.50572,150.8693,10067
Apslawn,TAS,-41.9826,148.14261,60018
Apsley,NSW,-32.60621,148.96076,10068
Apsley,TAS,-42.42408,147.1442,60019
Apsley,VIC,-36.96847,141.08294,20052
Arable,NSW,-36.38698,148.99194,10069
Arakoon,NSW,-30.90569,153.06446,10070
Araluen,NSW,-35.62184,149.81148,10071
Araluen,NT,-23.6961,133.853,70015
Araluen,QLD,-26.157,152.656,30071
Araluen North,NSW,-35.62184,149.81148,
Aramac,QLD,-22.97084,145.24277,30072
Aramara,QLD,-25.60223,152.34966,30073
Arana Hills,QLD,-27.3975,152.95944,30074
Aranbanga,QLD,-25.81527,151.65478,30075
Aranda,ACT,-35.25833,149.08,80020
Arapiles,VIC,-36.71685,141.87828,
Ararat,VIC,-37.28465,142.93164,20053
Ararat East,VIC,-37.2846,142.932,
Aratula,NSW,-35.77425,145.28686,10072
Aratula,QLD,-27.98139,152.54861,30076
Arawata,VIC,-38.39506,145.88923,20054
Arbouin,QLD,-17.0617,143.995,30077
Arbuckle,VIC,-37.369,146.829,20055
Arcadia,NSW,-33.62429,151.04455,10073
Arcadia,QLD,-19.15028,146.86611,30078
Arcadia,VIC,-36.53159,145.34569,20056
Arcadia Bay,QLD,-19.1547,146.845,
Arcadia South,VIC,-36.57358,145.35205,20057
Arcadia Vale,NSW,-33.062,151.587,10074
Arcadia Valley,QLD,-25.58223,148.69842,30079
Archdale,VIC,-36.8345,143.5308,20058
Archdale Junction,VIC,-36.87251,143.51474,20059
Archer,NT,-12.5164,130.971,70016
Archer River,QLD,-13.3478,142.527,30080
Archerfield,QLD,-27.56833,153.02417,30081
Archerfield Bc,QLD,-27.5675,153.022,
Archerton,VIC,-36.89707,146.26207,20060
Archies Creek,VIC,-38.54806,145.56361,20061
Arckaringa,SA,-27.8381,134.882,
Arcoona,SA,-31.1176,136.978,40038
Arcturus,QLD,-24.31355,149.8003,30082
Ardath,WA,-32.04486,118.13567,50023
Ardeer,VIC,-37.77767,144.79889,20062
Ardglen,NSW,-31.72579,150.74733,10075
Arding,NSW,-30.57253,151.53962,10076
Ardlethan,NSW,-34.35,146.9,10077
Ardmona,VIC,-36.38333,145.3,20063
Ardross,WA,-32.0221,115.83535,50024
Ardrossan,SA,-34.41911,137.9178,40039
Areegra,VIC,-36.28038,142.70655,20064
Areyonga,NT,-24.07306,132.26917,70017
Argalong,NSW,-35.32153,148.43678,10078
Argenton,NSW,-32.93556,151.62897,10079
Argents Hill,NSW,-30.61586,152.80057,10080
Argoon,NSW,-34.91815,145.65719,10081
Argoon,QLD,-24.24479,150.46464,
Argyle,NSW,-30.55237,151.82556,
Argyle,VIC,-36.94709,144.72276,20065
Argyle,WA,-33.53926,115.76152,50025
Argyll,QLD,-23.2987,147.4795,30083
Ariah Park,NSW,-34.40259,147.26245,10082
Arkaroola,SA,-30.3183,139.329,40040
Arkaroola Village,SA,-30.3183,139.329,
Arkell,NSW,-33.73774,149.38468,10083
Arkendeith,QLD,-19.6841,147.368,
Arkstone,NSW,-34.08193,149.61286,10084
Armadale,VIC,-37.85725,145.01902,20066
Armadale,WA,-32.1473,116.01288,50026
Armadale North,VIC,-37.8555,145.0207,
Armagh,SA,-33.8353,138.5722,40041
Armatree,NSW,-31.425,148.513,10085
Armidale,NSW,-30.50156,151.6662,10086
Armidale Dc,NSW,-30.49,151.641,
Armidale East,NSW,-30.5016,151.666,
Armstrong,VIC,-37.21126,142.87347,20067
Armstrong Beach,QLD,-21.44632,149.28794,30084
Armstrong Creek,QLD,-27.22912,152.81397,30085
Armstrong Creek,VIC,-38.2373,144.374,20068
Arncliffe,NSW,-33.93915,151.14781,10087
Arndell Park,NSW,-33.79,150.876,10088
Arno Bay,SA,-33.90934,136.56899,40042
Arnold,NT,-16.4713,134.287,70018
Arnold,VIC,-36.67236,143.81865,20069
Arnold West,VIC,-36.68482,143.78163,20070
Aroona,QLD,-26.781,153.117,30086
Arrawarra,NSW,-30.05293,153.19117,10089
Arrawarra Headland,NSW,-30.06861,153.19528,10090
Arriga,QLD,-17.02019,145.29341,30087
Arrino,WA,-29.54886,115.51515,50027
Arrowsmith,WA,-29.54568,115.05385,50028
Arrowsmith East,WA,-29.51697,115.35384,50029
Artarmon,NSW,-33.80933,151.18565,10091
Arthur River,TAS,-41.05306,144.66661,60020
Arthur River,WA,-33.34544,117.03694,50030
Arthurs Creek,VIC,-37.58333,145.2,20071
Arthurs Lake,TAS,-42.0267,146.87904,60021
Arthurs Seat,VIC,-38.352,144.953,20072
Arthurton,SA,-34.22843,137.78349,40043
Arthurville,NSW,-32.55853,148.72771,10092
Arumbera,NT,-23.7695,133.868,70019
Arumpo,NSW,-33.52835,143.30428,10093
Arundel,QLD,-27.93614,153.36032,30088
Arundel Bc,QLD,-27.9346,153.38,
Arundel Dc,QLD,-27.9346,153.38,
Ascot,QLD,-27.43194,153.065,30090
Ascot,VIC,-37.399,143.803,20074
Ascot,WA,-31.93546,115.92973,50031
Ascot Park,SA,-34.98832,138.5591,40044
Ascot Vale,VIC,-37.77674,144.91107,20075
Ashbourne,SA,-35.29773,138.75492,40045
Ashbourne,VIC,-37.38694,144.44611,20076
Ashburton,VIC,-37.86694,145.08306,20077
Ashbury,NSW,-33.89971,151.11993,10094
Ashby,NSW,-29.44714,153.18554,10095
Ashby,WA,-31.73315,115.7994,50032
Ashby Heights,NSW,-29.39833,153.17611,10096
Ashby Island,NSW,-29.42205,153.20616,10097
Ashcroft,NSW,-33.91447,150.89874,10098
Ashendon,WA,-32.21168,116.19084,50033
Ashfield,NSW,-33.8889,151.1249,10099
Ashfield,QLD,-24.8729,152.39466,30091
Ashfield,WA,-31.91723,115.9366,50034
Ashford,NSW,-29.32306,151.0925,10100
Ashford,SA,-34.949,138.574,40046
Ashgrove,QLD,-27.44124,152.98238,30092
Ashgrove East,QLD,-27.4412,152.982,
Ashgrove West,QLD,-27.44884,152.97844,
Ashley,NSW,-29.31366,149.80589,10101
Ashmont,NSW,-35.12713,147.33208,10102
Ashmore,QLD,-27.98639,153.38222,30093
Ashmore City,QLD,-27.98639,153.38222,
Ashton,SA,-34.93972,138.73722,40047
Ashtonfield,NSW,-32.76667,151.6,10103
Ashville,NSW,-34.0904,148.051,
Ashville,SA,-35.50554,139.37615,40048
Ashwell,QLD,-27.62846,152.5601,30094
Ashwood,VIC,-37.867,145.103,20078
Aspendale,VIC,-38.025,145.104,20079
Aspendale Gardens,VIC,-38.02278,145.11889,20080
Aspley,QLD,-27.3639,153.0157,30095
Asquith,NSW,-33.689,151.105,10104
Athelstone,SA,-34.87,138.703,40049
Atherton,QLD,-17.26608,145.48586,30096
Athlone,VIC,-38.23868,145.75853,20081
Athol,QLD,-27.62744,151.77,30097
Athol Park,SA,-34.858,138.543,40050
Atholwood,NSW,-29.13813,151.00457,10105
Atitjere,NT,-22.9797,134.932,70020
Atkinsons Dam,QLD,-27.43167,152.45083,30098
Attadale,WA,-32.02486,115.79968,50035
Attunga,NSW,-30.92944,150.845,10106
Attwood,VIC,-37.666,144.887,20082
Atwell,WA,-32.14601,115.86513,50036
Aubigny,QLD,-27.52306,151.64611,30099
Aubin Grove,WA,-32.1684,115.86114,50037
Aubinville,QLD,-25.5252,152.716,
Aubrey,VIC,-36.25921,142.23614,20083
Auburn,NSW,-33.86058,151.02475,10107
Auburn,QLD,-26.70199,150.61218,30100
Auburn,SA,-34.02722,138.68556,40051
Auburn,VIC,-37.83033,145.04356,
Auburn South,NSW,-33.8485,151.03,
Auburn South,VIC,-37.82976,145.04388,
Auburn Vale,NSW,-29.80786,151.06028,10108
Auchenflower,QLD,-27.47556,152.99167,30101
Auchmore,VIC,-36.4378,144.13737,20084
Audley,NSW,-34.0731,151.05676,
Augathella,QLD,-25.79766,146.58548,30102
Augusta,WA,-34.31605,115.1597,50038
Augustine Heights,QLD,-27.66917,152.89361,30103
Augustus Downs,QLD,-17.5801,138.88,
Auldana,SA,-34.918,138.685,40052
Aurukun,QLD,-13.35496,141.72439,30104
Aurville,NSW,-34.54934,148.36781,
Austinmer,NSW,-34.30631,150.93451,10109
Austins Ferry,TAS,-42.76639,147.24333,60022
Austinville,QLD,-28.15917,153.30972,30105
Austral,NSW,-33.93109,150.79361,10110
Austral Eden,NSW,-31.0235,152.92648,10111
Australia Fair,QLD,-27.96859,153.41551,
Australia Plains,SA,-34.08642,139.17035,40053
Australia Square,NSW,-33.86466,151.2077,
Australian Defence Forces,NSW,-31.2532,146.921,
Australian National University,ACT,-35.2777,149.11853,
Australind,WA,-33.27512,115.72853,50039
Avalon,NSW,-33.6303,151.33,
Avalon,VIC,-38.0569,144.423,20085
Avalon Beach,NSW,-33.63028,151.32977,10112
Aveley,WA,-31.77754,115.98647,50040
Avenel,VIC,-36.9,145.23333,20086
Avenell Heights,QLD,-24.8905,152.36678,30106
Avenue Range,SA,-36.96871,140.14209,40054
Avisford,NSW,-32.7403,149.48507,10113
Avoca,NSW,-34.61528,150.48472,10114
Avoca,QLD,-24.88056,152.30611,30107
Avoca,TAS,-41.78139,147.72194,60023
Avoca,VIC,-37.06386,143.45542,20087
Avoca Beach,NSW,-33.465,151.435,10115
Avoca Dell,SA,-35.09008,139.31077,40055
Avoca Vale,QLD,-26.75683,152.23518,30108
Avon,NSW,-34.42541,150.66857,10116
Avon,SA,-34.28518,138.37294,40056
Avon Downs,NT,-20.0303,137.49053,
Avon Plains,VIC,-36.5508,142.925,20088
Avon Valley National Park,WA,-31.62695,116.18762,50041
Avondale,NSW,-34.52631,150.73887,10117
Avondale,QLD,-24.76411,152.1608,30109
Avondale Heights,VIC,-37.76282,144.86487,20089
Avonmore,VIC,-36.53818,144.53345,20090
Avonside,NSW,-36.36376,148.72055,10118
Avonsleigh,VIC,-37.925,145.48194,20091
Awaba,NSW,-33.00988,151.54499,10119
Axe Creek,VIC,-36.83636,144.39387,20092
Axedale,VIC,-36.77687,144.50401,20093
Ayers Range South,NT,-26.1906,133.268,
Ayers Rock,NT,-25.3444,131.037,
Aylmerton,NSW,-34.41843,150.49213,10120
Ayr,QLD,-19.56852,147.40639,30110
Ayrford,VIC,-38.42088,142.84092,20094
Ayton,QLD,-15.9215,145.344,
Baan Baa,NSW,-30.59559,149.95587,10121
Baandee,WA,-31.54519,117.98334,50042
Baarmutha,VIC,-36.3981,146.66,
Babakin,WA,-32.15096,118.04203,50043
Babbage Island,WA,-24.87531,113.63212,50044
Babinda,NSW,-31.92711,146.50773,10122
Babinda,QLD,-17.34075,145.92758,30111
Babyl Creek,NSW,-28.70197,152.81504,10123
Bacchus Marsh,VIC,-37.67638,144.44632,20095
Back Creek,NSW,-29.03036,151.79764,10129
Back Forest,NSW,-34.84145,150.67787,10130
Back Plains,QLD,-27.88338,151.77877,30112
Back Valley,SA,-35.54128,138.49653,40057
Backmede,NSW,-28.78599,153.02531,10131
Backwater,NSW,-30.04039,151.86656,10132
Backy Point,SA,-32.9134,137.785,
Badagarang,NSW,-34.8282,150.5789,
Baddaginnie,VIC,-36.59863,145.87393,20096
Baddow,QLD,-25.5187,152.676,
Baden,TAS,-42.42219,147.4786,60024
Badgebup,WA,-33.6335,117.89865,50045
Badger Creek,VIC,-37.685,145.538,20097
Badger Head,TAS,-41.12916,146.73144,60025
Badgerin Rock,WA,-30.76958,117.31001,50046
Badgerys Creek,NSW,-33.87871,150.75049,10133
Badgin,WA,-31.80602,116.99688,50047
Badgingarra,WA,-30.43849,115.62688,50048
Badja,NSW,-36.07035,149.53801,10134
Badjaling,WA,-31.99889,117.49936,50049
Badu Island,QLD,-10.11642,142.12755,30113
Bael Bael,VIC,-35.71565,143.75096,20098
Baerami,NSW,-32.38371,150.49956,10135
Baerami Creek,NSW,-32.44614,150.45699,10136
Baffle Creek,QLD,-24.50193,151.93033,30114
Baffle West,QLD,-25.58223,148.69842,30115
Bagdad,TAS,-42.61667,147.21667,60026
Bagdad North,TAS,-42.61667,147.21667,
Bagnoo,NSW,-31.46575,152.53739,10137
Bago,NSW,-31.4925,152.64466,10138
Bagot,NT,-12.41149,130.85541,
Bagot Well,SA,-34.31835,138.98928,40058
Bagotville,NSW,-28.975,153.40639,10139
Bagshot,VIC,-36.67367,144.38703,20099
Bagshot North,VIC,-36.59946,144.42635,20100
Bahgallah,VIC,-37.66609,141.33719,20101
Bahrs Scrub,QLD,-27.73333,153.16667,30116
Bailey Creek,QLD,-24.9474,151.079,
Bailieston,VIC,-36.76507,145.05416,20102
Bailup,WA,-31.75867,116.30839,50050
Baines,NT,-15.9785,129.003,70021
Baird Bay,SA,-33.14748,134.36323,40059
Bairnsdale,VIC,-37.83333,147.61667,20103
